source	target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	score
ABCA3	ABCC1	9606.ENSP00000301732	9606.ENSP00000382342	0	0	0	0.539	0.083	0.135	0	0.632	0.408
ACACB	SCARB1	9606.ENSP00000341044	9606.ENSP00000261693	0	0	0	0	0.062	0	0	0.538	0.548
ACACB	PCK1	9606.ENSP00000341044	9606.ENSP00000319814	0	0	0	0	0.064	0	0	0.442	0.455
ADCY1	PDE4D	9606.ENSP00000297323	9606.ENSP00000345502	0	0	0	0	0.108	0.172	0.65	0.353	0.81
ADCY1	EDN1	9606.ENSP00000297323	9606.ENSP00000368683	0	0	0	0	0	0	0.9	0.042	0.9
ADCY1	GNAI1	9606.ENSP00000297323	9606.ENSP00000343027	0	0	0	0	0.062	0.201	0.9	0.289	0.939
ADM	CCL2	9606.ENSP00000436607	9606.ENSP00000225831	0	0	0	0	0.087	0	0	0.39	0.419
ADM	GDF15	9606.ENSP00000436607	9606.ENSP00000252809	0	0	0	0	0.076	0	0	0.469	0.488
ADM	LGALS3	9606.ENSP00000436607	9606.ENSP00000254301	0	0	0	0	0.088	0	0	0.395	0.424
ADM	TM4SF1	9606.ENSP00000436607	9606.ENSP00000304277	0	0	0	0	0.076	0	0	0.623	0.636
ADM	EDN1	9606.ENSP00000436607	9606.ENSP00000368683	0	0	0	0	0.065	0.213	0	0.716	0.773
AFAP1	FOXC1	9606.ENSP00000410689	9606.ENSP00000370256	0	0	0	0	0.076	0	0	0.421	0.442
AHR	HMOX1	9606.ENSP00000242057	9606.ENSP00000216117	0	0	0	0	0.062	0	0	0.51	0.52
AHR	EGR1	9606.ENSP00000242057	9606.ENSP00000239938	0	0	0	0	0.062	0.056	0	0.838	0.844
AHR	CFAP20	9606.ENSP00000242057	9606.ENSP00000262498	0	0	0	0	0	0	0	0.411	0.411
AHR	SOX2	9606.ENSP00000242057	9606.ENSP00000323588	0	0	0	0	0	0	0	0.415	0.415
AHR	BHLHE40	9606.ENSP00000242057	9606.ENSP00000256495	0	0	0	0	0.065	0	0	0.413	0.428
AHR	NOTCH1	9606.ENSP00000242057	9606.ENSP00000277541	0	0	0	0	0	0	0	0.504	0.504
AHR	MYC	9606.ENSP00000242057	9606.ENSP00000479618	0	0	0	0	0	0	0	0.529	0.529
AHR	JUN	9606.ENSP00000242057	9606.ENSP00000360266	0	0	0	0	0	0	0	0.588	0.588
AHR	TIPARP	9606.ENSP00000242057	9606.ENSP00000420612	0	0	0	0	0.07	0	0	0.587	0.599
AHR	NFE2L2	9606.ENSP00000242057	9606.ENSP00000380252	0	0	0	0	0	0.273	0	0.635	0.724
AK6	FBL	9606.ENSP00000370193	9606.ENSP00000221801	0	0	0	0	0.045	0.489	0	0	0.491
AK6	BRD3	9606.ENSP00000370193	9606.ENSP00000305918	0	0	0	0	0.114	0.344	0	0.081	0.42
AMOTL1	MYC	9606.ENSP00000387739	9606.ENSP00000479618	0	0	0	0	0	0	0	0.949	0.949
ANKRD1	NR4A2	9606.ENSP00000360762	9606.ENSP00000344479	0	0	0	0	0	0	0	0.486	0.486
ANKRD1	MAFF	9606.ENSP00000360762	9606.ENSP00000345393	0	0	0	0	0	0.143	0	0.436	0.496
AREG	CCND1	9606.ENSP00000379097	9606.ENSP00000227507	0	0	0	0	0	0	0	0.463	0.463
AREG	HBEGF	9606.ENSP00000379097	9606.ENSP00000230990	0	0	0	0.741	0.091	0	0.3	0.87	0.485
AREG	EREG	9606.ENSP00000379097	9606.ENSP00000244869	0	0	0	0	0.202	0	0.3	0.905	0.942
AREG	IGF1R	9606.ENSP00000379097	9606.ENSP00000268035	0	0	0	0	0	0	0.6	0.573	0.822
AREG	RHOB	9606.ENSP00000379097	9606.ENSP00000272233	0	0	0	0	0	0	0	0.405	0.405
AREG	NOTCH1	9606.ENSP00000379097	9606.ENSP00000277541	0	0	0	0	0	0	0	0.413	0.412
AREG	FOS	9606.ENSP00000379097	9606.ENSP00000306245	0	0	0	0	0	0	0.9	0.381	0.935
AREG	EPHA2	9606.ENSP00000379097	9606.ENSP00000351209	0	0	0	0	0.076	0	0.6	0.218	0.685
AREG	SPRY2	9606.ENSP00000379097	9606.ENSP00000366306	0	0	0	0	0	0	0.6	0.165	0.652
AREG	MYC	9606.ENSP00000379097	9606.ENSP00000479618	0	0	0	0	0.069	0	0	0.42	0.436
AREG	CXCL2	9606.ENSP00000379097	9606.ENSP00000427279	0	0	0	0	0.136	0	0	0.378	0.44
AREG	SPRY1	9606.ENSP00000379097	9606.ENSP00000481675	0	0	0	0	0	0	0.6	0.169	0.653
ARRDC2	SEMA4D	9606.ENSP00000222250	9606.ENSP00000416523	0	0	0	0	0	0.056	0	0.408	0.417
ARRDC2	FAM32A	9606.ENSP00000222250	9606.ENSP00000263384	0	0	0	0	0	0	0	0.581	0.581
BAMBI	BMP4	9606.ENSP00000364683	9606.ENSP00000245451	0	0	0	0	0.096	0	0.9	0.538	0.954
BAMBI	SKIL	9606.ENSP00000364683	9606.ENSP00000415243	0	0	0	0	0	0	0	0.414	0.414
BAMBI	BMP2	9606.ENSP00000364683	9606.ENSP00000368104	0	0	0	0	0.076	0	0.9	0.466	0.946
BCL9	CCND1	9606.ENSP00000234739	9606.ENSP00000227507	0	0	0	0	0	0	0	0.405	0.405
BCL9	MYC	9606.ENSP00000234739	9606.ENSP00000479618	0	0	0	0	0	0	0	0.4	0.4
BCL9	PHACTR4	9606.ENSP00000234739	9606.ENSP00000362942	0	0	0	0	0	0	0	0.485	0.485
BHLHE40	HES1	9606.ENSP00000256495	9606.ENSP00000232424	0	0	0	0.606	0	0	0.9	0.143	0.904
BHLHE40	EGR1	9606.ENSP00000256495	9606.ENSP00000239938	0	0	0	0	0.099	0.059	0	0.422	0.467
BHLHE40	KLF10	9606.ENSP00000256495	9606.ENSP00000285407	0	0	0	0	0.118	0.059	0	0.402	0.46
BHLHE40	TOP3A	9606.ENSP00000256495	9606.ENSP00000442336	0	0	0	0	0	0	0.9	0.059	0.901
BLOC1S4	MEF2BNB	9606.ENSP00000318128	9606.ENSP00000425864	0	0	0	0	0	0	0	0.559	0.559
BMP2	FSTL3	9606.ENSP00000368104	9606.ENSP00000166139	0	0	0	0	0.078	0.143	0	0.391	0.477
BMP2	PPP1R15A	9606.ENSP00000368104	9606.ENSP00000200453	0	0	0	0	0	0	0.9	0.045	0.9
BMP2	ID2	9606.ENSP00000368104	9606.ENSP00000234091	0	0	0	0	0	0	0	0.43	0.43
BMP2	BMP4	9606.ENSP00000368104	9606.ENSP00000245451	0	0	0	0.961	0.076	0	0.9	0.901	0.907
BMP2	SOX9	9606.ENSP00000368104	9606.ENSP00000245479	0	0	0	0	0.065	0.077	0	0.861	0.87
BMP2	LIF	9606.ENSP00000368104	9606.ENSP00000249075	0	0	0	0	0.069	0	0	0.426	0.443
BMP2	JAG1	9606.ENSP00000368104	9606.ENSP00000254958	0	0	0	0	0.097	0.102	0	0.548	0.602
BMP2	NOTCH2	9606.ENSP00000368104	9606.ENSP00000256646	0	0	0	0	0.064	0.104	0	0.435	0.484
BMP2	TBX3	9606.ENSP00000368104	9606.ENSP00000257566	0	0	0	0	0.083	0.139	0	0.557	0.62
BMP2	IL11	9606.ENSP00000368104	9606.ENSP00000264563	0	0	0	0	0	0	0	0.476	0.476
BMP2	IGF1R	9606.ENSP00000368104	9606.ENSP00000268035	0	0	0	0	0	0.15	0	0.429	0.493
BMP2	NOTCH1	9606.ENSP00000368104	9606.ENSP00000277541	0	0	0	0	0.064	0.104	0	0.641	0.673
BMP2	TNFRSF11B	9606.ENSP00000368104	9606.ENSP00000297350	0	0	0	0	0.072	0	0	0.72	0.73
BMP2	FOS	9606.ENSP00000368104	9606.ENSP00000306245	0	0	0	0	0	0	0	0.401	0.4
